Page,date,views,index
Main_Page_en.wikipedia.org_all-access_all-agents,2015-07-01,20381245,1
Main_Page_en.wikipedia.org_all-access_all-agents,2015-07-02,20752194,2
Main_Page_en.wikipedia.org_all-access_all-agents,2015-07-03,19573967,3
Main_Page_en.wikipedia.org_all-access_all-agents,2015-07-04,20439645,4
Main_Page_en.wikipedia.org_all-access_all-agents,2015-07-05,20772109,5
Main_Page_en.wikipedia.org_all-access_all-agents,2015-07-06,22544669,6
Main_Page_en.wikipedia.org_all-access_all-agents,2015-07-07,21210887,7
Main_Page_en.wikipedia.org_all-access_all-agents,2015-07-08,19107911,8
Main_Page_en.wikipedia.org_all-access_all-agents,2015-07-09,19993848,9
Main_Page_en.wikipedia.org_all-access_all-agents,2015-07-10,20201821,10
Main_Page_en.wikipedia.org_all-access_all-agents,2015-07-11,19697811,11
Main_Page_en.wikipedia.org_all-access_all-agents,2015-07-12,20232622,12
Main_Page_en.wikipedia.org_all-access_all-agents,2015-07-13,20516284,13
Main_Page_en.wikipedia.org_all-access_all-agents,2015-07-14,19701242,14
Main_Page_en.wikipedia.org_all-access_all-agents,2015-07-15,19563106,15
Main_Page_en.wikipedia.org_all-access_all-agents,2015-07-16,19658463,16
Main_Page_en.wikipedia.org_all-access_all-agents,2015-07-17,18989969,17
Main_Page_en.wikipedia.org_all-access_all-agents,2015-07-18,18364385,18
Main_Page_en.wikipedia.org_all-access_all-agents,2015-07-19,18825015,19
Main_Page_en.wikipedia.org_all-access_all-agents,2015-07-20,20338627,20
Main_Page_en.wikipedia.org_all-access_all-agents,2015-07-21,19740114,21
Main_Page_en.wikipedia.org_all-access_all-agents,2015-07-22,19536361,22
Main_Page_en.wikipedia.org_all-access_all-agents,2015-07-23,19620144,23
Main_Page_en.wikipedia.org_all-access_all-agents,2015-07-24,18639334,24
Main_Page_en.wikipedia.org_all-access_all-agents,2015-07-25,19317992,25
Main_Page_en.wikipedia.org_all-access_all-agents,2015-07-26,20404878,26
Main_Page_en.wikipedia.org_all-access_all-agents,2015-07-27,20155604,27
Main_Page_en.wikipedia.org_all-access_all-agents,2015-07-28,19891238,28
Main_Page_en.wikipedia.org_all-access_all-agents,2015-07-29,27562967,29
Main_Page_en.wikipedia.org_all-access_all-agents,2015-07-30,18497101,30
Main_Page_en.wikipedia.org_all-access_all-agents,2015-07-31,17928619,31
Main_Page_en.wikipedia.org_all-access_all-agents,2015-08-01,18184589,32
Main_Page_en.wikipedia.org_all-access_all-agents,2015-08-02,19406979,33
Main_Page_en.wikipedia.org_all-access_all-agents,2015-08-03,18952314,34
Main_Page_en.wikipedia.org_all-access_all-agents,2015-08-04,20533464,35
Main_Page_en.wikipedia.org_all-access_all-agents,2015-08-05,20246181,36
Main_Page_en.wikipedia.org_all-access_all-agents,2015-08-06,20060143,37
Main_Page_en.wikipedia.org_all-access_all-agents,2015-08-07,19118751,38
Main_Page_en.wikipedia.org_all-access_all-agents,2015-08-08,19440903,39
Main_Page_en.wikipedia.org_all-access_all-agents,2015-08-09,19711586,40
Main_Page_en.wikipedia.org_all-access_all-agents,2015-08-10,19852185,41
Main_Page_en.wikipedia.org_all-access_all-agents,2015-08-11,18373717,42
Main_Page_en.wikipedia.org_all-access_all-agents,2015-08-12,19389981,43
Main_Page_en.wikipedia.org_all-access_all-agents,2015-08-13,19189292,44
Main_Page_en.wikipedia.org_all-access_all-agents,2015-08-14,19448047,45
Main_Page_en.wikipedia.org_all-access_all-agents,2015-08-15,19307161,46
Main_Page_en.wikipedia.org_all-access_all-agents,2015-08-16,19678502,47
Main_Page_en.wikipedia.org_all-access_all-agents,2015-08-17,20307325,48
Main_Page_en.wikipedia.org_all-access_all-agents,2015-08-18,20082806,49
Main_Page_en.wikipedia.org_all-access_all-agents,2015-08-19,18899128,50
Main_Page_en.wikipedia.org_all-access_all-agents,2015-08-20,19086124,51
Main_Page_en.wikipedia.org_all-access_all-agents,2015-08-21,18898178,52
Main_Page_en.wikipedia.org_all-access_all-agents,2015-08-22,18795849,53
Main_Page_en.wikipedia.org_all-access_all-agents,2015-08-23,19889634,54
Main_Page_en.wikipedia.org_all-access_all-agents,2015-08-24,20207892,55
Main_Page_en.wikipedia.org_all-access_all-agents,2015-08-25,18560859,56
Main_Page_en.wikipedia.org_all-access_all-agents,2015-08-26,18092700,57
Main_Page_en.wikipedia.org_all-access_all-agents,2015-08-27,17864810,58
Main_Page_en.wikipedia.org_all-access_all-agents,2015-08-28,17294989,59
Main_Page_en.wikipedia.org_all-access_all-agents,2015-08-29,17841510,60
Main_Page_en.wikipedia.org_all-access_all-agents,2015-08-30,18196735,61
Main_Page_en.wikipedia.org_all-access_all-agents,2015-08-31,20550338,62
Main_Page_en.wikipedia.org_all-access_all-agents,2015-09-01,18080223,63
Main_Page_en.wikipedia.org_all-access_all-agents,2015-09-02,18416432,64
Main_Page_en.wikipedia.org_all-access_all-agents,2015-09-03,17852452,65
Main_Page_en.wikipedia.org_all-access_all-agents,2015-09-04,17481223,66
Main_Page_en.wikipedia.org_all-access_all-agents,2015-09-05,17902157,67
Main_Page_en.wikipedia.org_all-access_all-agents,2015-09-06,18996520,68
Main_Page_en.wikipedia.org_all-access_all-agents,2015-09-07,19742704,69
Main_Page_en.wikipedia.org_all-access_all-agents,2015-09-08,19648010,70
Main_Page_en.wikipedia.org_all-access_all-agents,2015-09-09,18609461,71
Main_Page_en.wikipedia.org_all-access_all-agents,2015-09-10,18072668,72
Main_Page_en.wikipedia.org_all-access_all-agents,2015-09-11,18555510,73
Main_Page_en.wikipedia.org_all-access_all-agents,2015-09-12,18931481,74
Main_Page_en.wikipedia.org_all-access_all-agents,2015-09-13,19064493,75
Main_Page_en.wikipedia.org_all-access_all-agents,2015-09-14,19220060,76
Main_Page_en.wikipedia.org_all-access_all-agents,2015-09-15,19269602,77
Main_Page_en.wikipedia.org_all-access_all-agents,2015-09-16,18231321,78
Main_Page_en.wikipedia.org_all-access_all-agents,2015-09-17,18204057,79
Main_Page_en.wikipedia.org_all-access_all-agents,2015-09-18,17712486,80
Main_Page_en.wikipedia.org_all-access_all-agents,2015-09-19,17854066,81
Main_Page_en.wikipedia.org_all-access_all-agents,2015-09-20,19607284,82
Main_Page_en.wikipedia.org_all-access_all-agents,2015-09-21,20802582,83
Main_Page_en.wikipedia.org_all-access_all-agents,2015-09-22,18833659,84
Main_Page_en.wikipedia.org_all-access_all-agents,2015-09-23,19586929,85
Main_Page_en.wikipedia.org_all-access_all-agents,2015-09-24,17953503,86
Main_Page_en.wikipedia.org_all-access_all-agents,2015-09-25,17808689,87
Main_Page_en.wikipedia.org_all-access_all-agents,2015-09-26,18096935,88
Main_Page_en.wikipedia.org_all-access_all-agents,2015-09-27,18695801,89
Main_Page_en.wikipedia.org_all-access_all-agents,2015-09-28,20307223,90
Main_Page_en.wikipedia.org_all-access_all-agents,2015-09-29,17538877,91
Main_Page_en.wikipedia.org_all-access_all-agents,2015-09-30,19702450,92
Main_Page_en.wikipedia.org_all-access_all-agents,2015-10-01,18840697,93
Main_Page_en.wikipedia.org_all-access_all-agents,2015-10-02,18537731,94
Main_Page_en.wikipedia.org_all-access_all-agents,2015-10-03,18301278,95
Main_Page_en.wikipedia.org_all-access_all-agents,2015-10-04,18939702,96
Main_Page_en.wikipedia.org_all-access_all-agents,2015-10-05,19282653,97
Main_Page_en.wikipedia.org_all-access_all-agents,2015-10-06,18265253,98
Main_Page_en.wikipedia.org_all-access_all-agents,2015-10-07,18840988,99
Main_Page_en.wikipedia.org_all-access_all-agents,2015-10-08,19047312,100
Main_Page_en.wikipedia.org_all-access_all-agents,2015-10-09,18440817,101
Main_Page_en.wikipedia.org_all-access_all-agents,2015-10-10,18938321,102
Main_Page_en.wikipedia.org_all-access_all-agents,2015-10-11,19121832,103
Main_Page_en.wikipedia.org_all-access_all-agents,2015-10-12,20286343,104
Main_Page_en.wikipedia.org_all-access_all-agents,2015-10-13,19559575,105
Main_Page_en.wikipedia.org_all-access_all-agents,2015-10-14,18802022,106
Main_Page_en.wikipedia.org_all-access_all-agents,2015-10-15,18822460,107
Main_Page_en.wikipedia.org_all-access_all-agents,2015-10-16,17868389,108
Main_Page_en.wikipedia.org_all-access_all-agents,2015-10-17,18036102,109
Main_Page_en.wikipedia.org_all-access_all-agents,2015-10-18,19028520,110
Main_Page_en.wikipedia.org_all-access_all-agents,2015-10-19,21347607,111
Main_Page_en.wikipedia.org_all-access_all-agents,2015-10-20,20669053,112
Main_Page_en.wikipedia.org_all-access_all-agents,2015-10-21,21553554,113
Main_Page_en.wikipedia.org_all-access_all-agents,2015-10-22,21469391,114
Main_Page_en.wikipedia.org_all-access_all-agents,2015-10-23,18919155,115
Main_Page_en.wikipedia.org_all-access_all-agents,2015-10-24,17532501,116
Main_Page_en.wikipedia.org_all-access_all-agents,2015-10-25,20101332,117
Main_Page_en.wikipedia.org_all-access_all-agents,2015-10-26,20545890,118
Main_Page_en.wikipedia.org_all-access_all-agents,2015-10-27,20892326,119
Main_Page_en.wikipedia.org_all-access_all-agents,2015-10-28,20538568,120
Main_Page_en.wikipedia.org_all-access_all-agents,2015-10-29,18817869,121
Main_Page_en.wikipedia.org_all-access_all-agents,2015-10-30,18179530,122
Main_Page_en.wikipedia.org_all-access_all-agents,2015-10-31,18120563,123
Main_Page_en.wikipedia.org_all-access_all-agents,2015-11-01,17973094,124
Main_Page_en.wikipedia.org_all-access_all-agents,2015-11-02,21329021,125
Main_Page_en.wikipedia.org_all-access_all-agents,2015-11-03,21050933,126
Main_Page_en.wikipedia.org_all-access_all-agents,2015-11-04,20017882,127
Main_Page_en.wikipedia.org_all-access_all-agents,2015-11-05,19777471,128
Main_Page_en.wikipedia.org_all-access_all-agents,2015-11-06,18059062,129
Main_Page_en.wikipedia.org_all-access_all-agents,2015-11-07,17536850,130
Main_Page_en.wikipedia.org_all-access_all-agents,2015-11-08,18536679,131
Main_Page_en.wikipedia.org_all-access_all-agents,2015-11-09,20775262,132
Main_Page_en.wikipedia.org_all-access_all-agents,2015-11-10,19631183,133
Main_Page_en.wikipedia.org_all-access_all-agents,2015-11-11,19202046,134
Main_Page_en.wikipedia.org_all-access_all-agents,2015-11-12,18796807,135
Main_Page_en.wikipedia.org_all-access_all-agents,2015-11-13,18115623,136
Main_Page_en.wikipedia.org_all-access_all-agents,2015-11-14,18071079,137
Main_Page_en.wikipedia.org_all-access_all-agents,2015-11-15,19122767,138
Main_Page_en.wikipedia.org_all-access_all-agents,2015-11-16,20877193,139
Main_Page_en.wikipedia.org_all-access_all-agents,2015-11-17,19786022,140
Main_Page_en.wikipedia.org_all-access_all-agents,2015-11-18,19888465,141
Main_Page_en.wikipedia.org_all-access_all-agents,2015-11-19,19153768,142
Main_Page_en.wikipedia.org_all-access_all-agents,2015-11-20,17571728,143
Main_Page_en.wikipedia.org_all-access_all-agents,2015-11-21,18951935,144
Main_Page_en.wikipedia.org_all-access_all-agents,2015-11-22,19460547,145
Main_Page_en.wikipedia.org_all-access_all-agents,2015-11-23,20561700,146
Main_Page_en.wikipedia.org_all-access_all-agents,2015-11-24,19454519,147
Main_Page_en.wikipedia.org_all-access_all-agents,2015-11-25,18815903,148
Main_Page_en.wikipedia.org_all-access_all-agents,2015-11-26,18137351,149
Main_Page_en.wikipedia.org_all-access_all-agents,2015-11-27,17900461,150
Main_Page_en.wikipedia.org_all-access_all-agents,2015-11-28,19148652,151
Main_Page_en.wikipedia.org_all-access_all-agents,2015-11-29,19277043,152
Main_Page_en.wikipedia.org_all-access_all-agents,2015-11-30,21366420,153
Main_Page_en.wikipedia.org_all-access_all-agents,2015-12-01,20099427,154
Main_Page_en.wikipedia.org_all-access_all-agents,2015-12-02,18205049,155
Main_Page_en.wikipedia.org_all-access_all-agents,2015-12-03,18574825,156
Main_Page_en.wikipedia.org_all-access_all-agents,2015-12-04,17961520,157
Main_Page_en.wikipedia.org_all-access_all-agents,2015-12-05,18167049,158
Main_Page_en.wikipedia.org_all-access_all-agents,2015-12-06,18411552,159
Main_Page_en.wikipedia.org_all-access_all-agents,2015-12-07,21106509,160
Main_Page_en.wikipedia.org_all-access_all-agents,2015-12-08,20075408,161
Main_Page_en.wikipedia.org_all-access_all-agents,2015-12-09,18032665,162
Main_Page_en.wikipedia.org_all-access_all-agents,2015-12-10,16571493,163
Main_Page_en.wikipedia.org_all-access_all-agents,2015-12-11,17547647,164
Main_Page_en.wikipedia.org_all-access_all-agents,2015-12-12,16255060,165
Main_Page_en.wikipedia.org_all-access_all-agents,2015-12-13,18341734,166
Main_Page_en.wikipedia.org_all-access_all-agents,2015-12-14,19253442,167
Main_Page_en.wikipedia.org_all-access_all-agents,2015-12-15,17266631,168
Main_Page_en.wikipedia.org_all-access_all-agents,2015-12-16,17619356,169
Main_Page_en.wikipedia.org_all-access_all-agents,2015-12-17,16540916,170
Main_Page_en.wikipedia.org_all-access_all-agents,2015-12-18,16280140,171
Main_Page_en.wikipedia.org_all-access_all-agents,2015-12-19,16650087,172
Main_Page_en.wikipedia.org_all-access_all-agents,2015-12-20,16678204,173
Main_Page_en.wikipedia.org_all-access_all-agents,2015-12-21,17800819,174
Main_Page_en.wikipedia.org_all-access_all-agents,2015-12-22,17440969,175
Main_Page_en.wikipedia.org_all-access_all-agents,2015-12-23,17778614,176
Main_Page_en.wikipedia.org_all-access_all-agents,2015-12-24,17208838,177
Main_Page_en.wikipedia.org_all-access_all-agents,2015-12-25,15979689,178
Main_Page_en.wikipedia.org_all-access_all-agents,2015-12-26,17885213,179
Main_Page_en.wikipedia.org_all-access_all-agents,2015-12-27,17404526,180
Main_Page_en.wikipedia.org_all-access_all-agents,2015-12-28,18944273,181
Main_Page_en.wikipedia.org_all-access_all-agents,2015-12-29,17566644,182
Main_Page_en.wikipedia.org_all-access_all-agents,2015-12-30,17379479,183
Main_Page_en.wikipedia.org_all-access_all-agents,2015-12-31,16956025,184
Main_Page_en.wikipedia.org_all-access_all-agents,2016-01-01,16357307,185
Main_Page_en.wikipedia.org_all-access_all-agents,2016-01-02,17614566,186
Main_Page_en.wikipedia.org_all-access_all-agents,2016-01-03,17537448,187
Main_Page_en.wikipedia.org_all-access_all-agents,2016-01-04,19232035,188
Main_Page_en.wikipedia.org_all-access_all-agents,2016-01-05,18142931,189
Main_Page_en.wikipedia.org_all-access_all-agents,2016-01-06,18377878,190
Main_Page_en.wikipedia.org_all-access_all-agents,2016-01-07,17277663,191
Main_Page_en.wikipedia.org_all-access_all-agents,2016-01-08,16437934,192
Main_Page_en.wikipedia.org_all-access_all-agents,2016-01-09,16439118,193
Main_Page_en.wikipedia.org_all-access_all-agents,2016-01-10,17278324,194
Main_Page_en.wikipedia.org_all-access_all-agents,2016-01-11,19101592,195
Main_Page_en.wikipedia.org_all-access_all-agents,2016-01-12,18446226,196
Main_Page_en.wikipedia.org_all-access_all-agents,2016-01-13,17198241,197
Main_Page_en.wikipedia.org_all-access_all-agents,2016-01-14,18142839,198
Main_Page_en.wikipedia.org_all-access_all-agents,2016-01-15,17463095,199
Main_Page_en.wikipedia.org_all-access_all-agents,2016-01-16,18220069,200
Main_Page_en.wikipedia.org_all-access_all-agents,2016-01-17,18696825,201
Main_Page_en.wikipedia.org_all-access_all-agents,2016-01-18,19388247,202
Main_Page_en.wikipedia.org_all-access_all-agents,2016-01-19,19658939,203
Main_Page_en.wikipedia.org_all-access_all-agents,2016-01-20,18722000,204
Main_Page_en.wikipedia.org_all-access_all-agents,2016-01-21,18927908,205
Main_Page_en.wikipedia.org_all-access_all-agents,2016-01-22,16902280,206
Main_Page_en.wikipedia.org_all-access_all-agents,2016-01-23,17528883,207
Main_Page_en.wikipedia.org_all-access_all-agents,2016-01-24,17619260,208
Main_Page_en.wikipedia.org_all-access_all-agents,2016-01-25,20102379,209
Main_Page_en.wikipedia.org_all-access_all-agents,2016-01-26,18640556,210
Main_Page_en.wikipedia.org_all-access_all-agents,2016-01-27,19257875,211
Main_Page_en.wikipedia.org_all-access_all-agents,2016-01-28,17268076,212
Main_Page_en.wikipedia.org_all-access_all-agents,2016-01-29,17158376,213
Main_Page_en.wikipedia.org_all-access_all-agents,2016-01-30,17088067,214
Main_Page_en.wikipedia.org_all-access_all-agents,2016-01-31,18357890,215
Main_Page_en.wikipedia.org_all-access_all-agents,2016-02-01,20277797,216
Main_Page_en.wikipedia.org_all-access_all-agents,2016-02-02,18918364,217
Main_Page_en.wikipedia.org_all-access_all-agents,2016-02-03,18859009,218
Main_Page_en.wikipedia.org_all-access_all-agents,2016-02-04,18481040,219
Main_Page_en.wikipedia.org_all-access_all-agents,2016-02-05,17843144,220
Main_Page_en.wikipedia.org_all-access_all-agents,2016-02-06,18587860,221
Main_Page_en.wikipedia.org_all-access_all-agents,2016-02-07,19309521,222
Main_Page_en.wikipedia.org_all-access_all-agents,2016-02-08,20739786,223
Main_Page_en.wikipedia.org_all-access_all-agents,2016-02-09,20397500,224
Main_Page_en.wikipedia.org_all-access_all-agents,2016-02-10,17795970,225
Main_Page_en.wikipedia.org_all-access_all-agents,2016-02-11,15992018,226
Main_Page_en.wikipedia.org_all-access_all-agents,2016-02-12,16617595,227
Main_Page_en.wikipedia.org_all-access_all-agents,2016-02-13,17480703,228
Main_Page_en.wikipedia.org_all-access_all-agents,2016-02-14,18726755,229
Main_Page_en.wikipedia.org_all-access_all-agents,2016-02-15,20032776,230
Main_Page_en.wikipedia.org_all-access_all-agents,2016-02-16,20575541,231
Main_Page_en.wikipedia.org_all-access_all-agents,2016-02-17,20476918,232
Main_Page_en.wikipedia.org_all-access_all-agents,2016-02-18,18843191,233
Main_Page_en.wikipedia.org_all-access_all-agents,2016-02-19,17769660,234
Main_Page_en.wikipedia.org_all-access_all-agents,2016-02-20,17818972,235
Main_Page_en.wikipedia.org_all-access_all-agents,2016-02-21,18605493,236
Main_Page_en.wikipedia.org_all-access_all-agents,2016-02-22,20419679,237
Main_Page_en.wikipedia.org_all-access_all-agents,2016-02-23,19124130,238
Main_Page_en.wikipedia.org_all-access_all-agents,2016-02-24,18960222,239
Main_Page_en.wikipedia.org_all-access_all-agents,2016-02-25,19336523,240
Main_Page_en.wikipedia.org_all-access_all-agents,2016-02-26,18111279,241
Main_Page_en.wikipedia.org_all-access_all-agents,2016-02-27,18717099,242
Main_Page_en.wikipedia.org_all-access_all-agents,2016-02-28,19800231,243
Main_Page_en.wikipedia.org_all-access_all-agents,2016-02-29,21580285,244
Main_Page_en.wikipedia.org_all-access_all-agents,2016-03-01,19914759,245
Main_Page_en.wikipedia.org_all-access_all-agents,2016-03-02,19662849,246
Main_Page_en.wikipedia.org_all-access_all-agents,2016-03-03,21093766,247
Main_Page_en.wikipedia.org_all-access_all-agents,2016-03-04,17953831,248
Main_Page_en.wikipedia.org_all-access_all-agents,2016-03-05,19490845,249
Main_Page_en.wikipedia.org_all-access_all-agents,2016-03-06,18435284,250
Main_Page_en.wikipedia.org_all-access_all-agents,2016-03-07,19338545,251
Main_Page_en.wikipedia.org_all-access_all-agents,2016-03-08,18439356,252
Main_Page_en.wikipedia.org_all-access_all-agents,2016-03-09,18144431,253
Main_Page_en.wikipedia.org_all-access_all-agents,2016-03-10,17279017,254
Main_Page_en.wikipedia.org_all-access_all-agents,2016-03-11,15675061,255
Main_Page_en.wikipedia.org_all-access_all-agents,2016-03-12,16375523,256
Main_Page_en.wikipedia.org_all-access_all-agents,2016-03-13,14680683,257
Main_Page_en.wikipedia.org_all-access_all-agents,2016-03-14,18617818,258
Main_Page_en.wikipedia.org_all-access_all-agents,2016-03-15,16794809,259
Main_Page_en.wikipedia.org_all-access_all-agents,2016-03-16,16286673,260
Main_Page_en.wikipedia.org_all-access_all-agents,2016-03-17,16038697,261
Main_Page_en.wikipedia.org_all-access_all-agents,2016-03-18,15873151,262
Main_Page_en.wikipedia.org_all-access_all-agents,2016-03-19,14503762,263
Main_Page_en.wikipedia.org_all-access_all-agents,2016-03-20,14020835,264
Main_Page_en.wikipedia.org_all-access_all-agents,2016-03-21,15315617,265
Main_Page_en.wikipedia.org_all-access_all-agents,2016-03-22,14483494,266
Main_Page_en.wikipedia.org_all-access_all-agents,2016-03-23,15114546,267
Main_Page_en.wikipedia.org_all-access_all-agents,2016-03-24,14594564,268
Main_Page_en.wikipedia.org_all-access_all-agents,2016-03-25,14088380,269
Main_Page_en.wikipedia.org_all-access_all-agents,2016-03-26,14588211,270
Main_Page_en.wikipedia.org_all-access_all-agents,2016-03-27,15326802,271
Main_Page_en.wikipedia.org_all-access_all-agents,2016-03-28,17449545,272
Main_Page_en.wikipedia.org_all-access_all-agents,2016-03-29,15724981,273
Main_Page_en.wikipedia.org_all-access_all-agents,2016-03-30,15307228,274
Main_Page_en.wikipedia.org_all-access_all-agents,2016-03-31,14506700,275
